Task,Engineering,GeoSpatial + Trajectories,Bioinformatics,BioMedical
Discover,38,29,6,14
Present,1,28,2,2
Annotate,2,5,0,2
Record,0,1,0,0
Derive,6,1,3,2
Browse,5,12,2,2
Locate,20,12,7,11
Explore,32,48,14,20
Lookup,11,1,1,5
Identify,32,21,11,15
Compare,23,21,10,16
Summarize,33,20,6,14
