Author and Year,Year,BibteX Entry,Paper,URL,Domain,Sub-Domain,#Users (single or multi),Single/MiXed EXpertise,Data Types,Tasks,Interaction Patterns,Device Constraints,Overlays or Linked Views,Number of Overlays,Encodings,"Evaluation type (e.g., case study)",Users,
Lampe-2009,2009,See BibteX,Curve-Centric Volume Reformation for Comparative Visualization,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?arnumber=5290734,Engineering,General,Single,MiXed,Field,See Tasks Sheet,See Interaction Patterns Sheet,VoXel Duplication,Overlays,2,See Encodings,Case Study,Domain,
Schultz-2010,2010,See bibteX,A MaXimum Enhancing Higher-Order Tensor Glyph,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2009.01675.X/epdf,Engineering,Physics,Single,MiXed,Field,See Tasks Sheet,See Interaction Patterns Sheet,,Overlays,1,See Encodings,Case Study,Domain,
Bruckner-2010,2010,See BibteX,Result-Driven EXploration of Simulation Parameter Spaces for Visual Effects Design,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?arnumber=5613488,Engineering,Physics,Single,Single,Table / Field,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,Quantitative Analysis / Feedback,Domain,
Busking-2010,2010,See bibteX,Dynamic Multi-View EXploration of Shape Spaces,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2009.01668.X/epdf,Engineering,General,Single,MiXed,Table / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,2,See Encodings,Case Study,Vizards,
Bennett-2011,2011,See BibteX,Feature-Based Statistical Analysis of Combustion Simulation Data,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6064945,Engineering,Physical Science,Multi,MiXed,Field,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,Case Study,Domain,Deployed at Sandia National Labs
Gu-2011,2011,See BibteX,TransGraph: Hierarchical EXploration of Transition Relationships in Time-Varying Volumetric Data,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6064965,Engineering,General,Single,MiXed,Field / Network,See Tasks Sheet,See Interaction Patterns Sheet,"Can only cluster at the block level, limiting the scope of refinement",Hybrid,2,See Encodings,Case Study,Vizards,
Lipsa-2011,2011,See BibteX,FoamVis: Visualization of 2D Foam Simulation Data,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6064974,Engineering,Physics,Multi,Single,Table / Field,See Tasks Sheet,See Interaction Patterns Sheet,Data transfer to GPU is slow. ,Hybrid,2,See Encodings,Feedback,Domain,
Beketayev-2011,2011,See BibteX,Topology-based Visualization of Transformation Pathways in CompleX Chemical Systems,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2011.01915.X/epdf,Engineering,Physical Science (Chemistry),Single,MiXed,Field / Network,See Tasks Sheet,See Interaction Patterns Sheet,,Overlays,1,See Encodings,Case Study,Domain,
Martin-2011,2011,,Histogram Spectra for Multivariate Time-Varying Volume LOD Selection,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6092315,Engineering,Generic,Single,MiXed,Field / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Overlays,1,See Encodings,Case Study,Vizards,
Reh-2012,2012,See BibteX,Porosity Maps - Interactive EXploration and Visual Analysis of Porosity in Carbon Fiber Reinforced Polymers,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2012.03111.X/epdf,Engineering,Physical Science (Material Analysis),Multi,MiXed,Field / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,2,See Encodings,Case Study,Domain,
